Person_ID,Identification_Confidence,Evidence_Type,Member_Type,Outbound_start_station_id,Outbound_end_station_id,Return_start_station_id,Return_end_station_id,Outbound_Undock_Time,Outbound_Redock_Time,Return_Undock_Time,Outbound_Date,Return_Date,Outbound_Bike_Time_Minutes,Time_At_Destination,Outbound_Ride_ID,Return_Ride_ID,Number_Of_Matched_Pairs,Pattern_Consistency,Quasi_Identifier,Why_Not_Anonymous,Anonymity_Set_Size,Uniqueness_Score,K_Anonymity_Violated,Privacy_Risk_Level
COMMUTER_member_Conway Park - Somerville Avenue~Porter Square Station,VERY HIGH,Matched Outbound + Return Journey,member,S32004,M32029,M32029,S32004,07:33,07:33,21:44,2025-10-31,2025-10-31,0,14h 11m,67FEADE5F61A465A,1AB53AA6A062CBAC,8,Arrival times within ±2 minutes,"(member, Conway Park - Somerville Avenue -> Porter Square Station, ~450)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique
COMMUTER_member_Harvard St at Greene-Rose Heritage Park~Berkshire Street at Cambridge Street,VERY HIGH,Matched Outbound + Return Journey,member,M32055,M32067,M32067,M32055,08:13,08:13,16:03,2025-10-31,2025-10-31,0,7h 50m,A4FEDE25B4F5BE91,6C435FA81CB6E5DD,8,Arrival times within ±4 minutes,"(member, Harvard St at Greene-Rose Heritage Park -> Berkshire Street at Cambridge Street, ~490)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique
COMMUTER_member_39 Brighton Ave~Commonwealth Ave at Agganis Way,VERY HIGH,Matched Outbound + Return Journey,member,D32073,A32002,A32002,D32073,09:57,09:57,17:33,2025-10-15,2025-10-15,0,7h 36m,883AEC036779B230,1BE5EAE5332CFB09,8,Arrival times within ±3 minutes,"(member, 39 Brighton Ave -> Commonwealth Ave at Agganis Way, ~595)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique
COMMUTER_member_Harvard University Radcliffe Quadrangle at Shepard St / Garden St~N. Harvard St at Harvard Way,VERY HIGH,Matched Outbound + Return Journey,member,M32024,A32015,A32015,M32024,07:18,07:18,17:37,2025-10-29,2025-10-29,0,10h 19m,9B0C686B0203C361,98211C11300F041C,7,Arrival times within ±3 minutes,"(member, Harvard University Radcliffe Quadrangle at Shepard St / Garden St -> N. Harvard St at Harvard Way, ~435)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique
COMMUTER_member_Lower Cambridgeport at Magazine St / Riverside Rd~Lansdowne T Stop,VERY HIGH,Matched Outbound + Return Journey,member,M32022,B32058,B32058,M32022,07:04,07:04,18:04,2025-10-02,2025-10-02,0,11h 0m,CBCBDA0A16422C9B,D0140E3145E3B77A,7,Arrival times within ±2 minutes,"(member, Lower Cambridgeport at Magazine St / Riverside Rd -> Lansdowne T Stop, ~420)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique
COMMUTER_member_Uphams Corner~Circuit Drive at American Legion Hwy,VERY HIGH,Matched Outbound + Return Journey,member,C32019,C32099,C32099,C32019,06:46,06:46,15:37,2025-10-08,2025-10-08,0,8h 51m,F7511246AD014F88,DC560195D13D7E2E,7,Arrival times within ±2 minutes,"(member, Uphams Corner -> Circuit Drive at American Legion Hwy, ~405)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique
COMMUTER_member_Harvard St at Greene-Rose Heritage Park~One Brigham Circle,VERY HIGH,Matched Outbound + Return Journey,member,M32055,B32036,B32036,M32055,08:10,08:10,16:12,2025-10-21,2025-10-21,0,8h 2m,F823C80958947194,39C895E602F8BCD2,7,Arrival times within ±4 minutes,"(member, Harvard St at Greene-Rose Heritage Park -> One Brigham Circle, ~490)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique
COMMUTER_member_55 Wheeler Street~Alewife MBTA at Steel Place,VERY HIGH,Matched Outbound + Return Journey,member,M32088,M32046,M32046,M32088,08:00,08:00,12:40,2025-10-16,2025-10-16,0,4h 40m,5E197EDACAA329B4,05D663C5C75FE533,7,Arrival times within ±4 minutes,"(member, 55 Wheeler Street -> Alewife MBTA at Steel Place, ~480)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique
COMMUTER_member_MIT Hayward St at Amherst St~MIT at Mass Ave / Amherst St,VERY HIGH,Matched Outbound + Return Journey,member,M32071,M32006,M32006,M32071,12:53,12:53,17:03,2025-10-18,2025-10-18,0,4h 10m,A097F94772A93FD5,CBC746AB050E59C9,7,Arrival times within ±4 minutes,"(member, MIT Hayward St at Amherst St -> MIT at Mass Ave / Amherst St, ~770)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique
COMMUTER_member_Beacon St at Massachusetts Ave~MIT at Mass Ave / Amherst St,VERY HIGH,Matched Outbound + Return Journey,member,B32016,M32006,M32006,B32016,08:58,08:58,15:46,2025-10-03,2025-10-03,0,6h 48m,52103CF391CD0A22,6AAC528C6883F40B,7,Arrival times within ±4 minutes,"(member, Beacon St at Massachusetts Ave -> MIT at Mass Ave / Amherst St, ~535)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique
COMMUTER_member_Boylston St at Exeter St~Mugar Way at Beacon St,VERY HIGH,Matched Outbound + Return Journey,member,D32046,D32017,D32017,D32046,07:51,07:51,15:32,2025-10-20,2025-10-20,0,7h 41m,22E729AF96FE2C23,88EE297DF46E8173,7,Arrival times within ±3 minutes,"(member, Boylston St at Exeter St -> Mugar Way at Beacon St, ~470)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique
COMMUTER_member_Washington St at Northampton St~Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,VERY HIGH,Matched Outbound + Return Journey,member,C32072,B32002,B32002,C32072,07:51,07:51,15:22,2025-10-16,2025-10-16,0,7h 31m,70F11689D600B03F,E55870E40BA5E0FC,7,Arrival times within ±3 minutes,"(member, Washington St at Northampton St -> Ruggles T Stop - Columbus Ave at Melnea Cass Blvd, ~470)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique
COMMUTER_member_Coolidge Corner - Beacon St at Centre St~Longwood Ave at Binney St,VERY HIGH,Matched Outbound + Return Journey,member,K32001,A32004,A32004,K32001,07:05,07:05,19:17,2025-10-21,2025-10-21,0,12h 12m,651D35D6DBD79632,AF145CDD9A73CF9F,7,Arrival times within ±4 minutes,"(member, Coolidge Corner - Beacon St at Centre St -> Longwood Ave at Binney St, ~425)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique
COMMUTER_member_Porter Square Station~Galileo Galilei Way at Fulkerson St/Binney St,VERY HIGH,Matched Outbound + Return Journey,member,M32029,M32078,M32078,M32029,06:54,06:54,16:21,2025-10-29,2025-10-29,0,9h 27m,7E385569E643F462,340A126573BA7391,7,Arrival times within ±4 minutes,"(member, Porter Square Station -> Galileo Galilei Way at Fulkerson St/Binney St, ~410)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique
COMMUTER_member_Geiger Gibson Community Health Center~JFK/UMass T Stop,VERY HIGH,Matched Outbound + Return Journey,member,C32090,C32013,C32013,C32090,18:04,18:04,22:29,2025-10-17,2025-10-17,0,4h 25m,68EC255A89CB048F,6A6F831B051512A3,7,Arrival times within ±2 minutes,"(member, Geiger Gibson Community Health Center -> JFK/UMass T Stop, ~1080)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique
COMMUTER_member_Canal St at Causeway St~Purchase St at Pearl St,VERY HIGH,Matched Outbound + Return Journey,member,A32046,A32026,A32026,A32046,07:34,07:34,15:59,2025-10-29,2025-10-29,0,8h 25m,DCDF658D73072A69,CA0C2EB39F6B230E,7,Arrival times within ±4 minutes,"(member, Canal St at Causeway St -> Purchase St at Pearl St, ~450)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique
COMMUTER_member_Harrison Ave at E. Dedham St~Prudential Center - 101 Huntington Ave,VERY HIGH,Matched Outbound + Return Journey,member,C32093,C32007,C32007,C32093,08:43,08:43,19:12,2025-10-01,2025-10-01,0,10h 29m,CF1399FD4B6D3736,8A3CC55D9BA58854,7,Arrival times within ±4 minutes,"(member, Harrison Ave at E. Dedham St -> Prudential Center - 101 Huntington Ave, ~520)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique
COMMUTER_member_Dana Park~Central Square at Mass Ave / Essex St,VERY HIGH,Matched Outbound + Return Journey,member,M32030,M32011,M32011,M32030,08:35,08:35,19:14,2025-10-01,2025-10-01,0,10h 39m,8AEA8F4C2E895DC1,909120C2E82A0458,6,Arrival times within ±3 minutes,"(member, Dana Park -> Central Square at Mass Ave / Essex St, ~515)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique
COMMUTER_member_39 Brighton Ave~Smith St at Parker St,VERY HIGH,Matched Outbound + Return Journey,member,D32073,B32070,B32070,D32073,07:14,07:14,18:03,2025-10-27,2025-10-27,0,10h 49m,D210CC242B037BE3,E9F7BBBF1649A613,6,Arrival times within ±4 minutes,"(member, 39 Brighton Ave -> Smith St at Parker St, ~430)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique
COMMUTER_member_Lincoln St at Empire St~N. Harvard St at Harvard Way,VERY HIGH,Matched Outbound + Return Journey,member,E32015,A32015,A32015,E32015,09:01,09:01,18:23,2025-10-31,2025-10-31,0,9h 22m,32A315D491A0F4A9,B1C4D239C3353401,6,Arrival times within ±3 minutes,"(member, Lincoln St at Empire St -> N. Harvard St at Harvard Way, ~540)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique
COMMUTER_member_Harvard St at Greene-Rose Heritage Park~Central Square at Mass Ave / Essex St,VERY HIGH,Matched Outbound + Return Journey,member,M32055,M32011,M32011,M32055,07:24,07:24,21:29,2025-10-16,2025-10-16,0,14h 5m,861DBDFA047543B3,A965E2A5EC134F28,6,Arrival times within ±2 minutes,"(member, Harvard St at Greene-Rose Heritage Park -> Central Square at Mass Ave / Essex St, ~440)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique
COMMUTER_member_Newmarket Square T Stop - Massachusetts Ave at Newmarket Square~Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,VERY HIGH,Matched Outbound + Return Journey,member,C32022,B32002,B32002,C32022,07:37,07:37,13:02,2025-10-06,2025-10-06,0,5h 25m,03EE4A45AB25C377,928428315852AD96,6,Arrival times within ±3 minutes,"(member, Newmarket Square T Stop - Massachusetts Ave at Newmarket Square -> Ruggles T Stop - Columbus Ave at Melnea Cass Blvd, ~455)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique
COMMUTER_member_Ruggles T Stop - Columbus Ave at Melnea Cass Blvd~Mass Ave at Albany St,VERY HIGH,Matched Outbound + Return Journey,member,B32002,M32061,M32061,B32002,09:19,09:19,21:59,2025-10-21,2025-10-21,0,12h 40m,8F0A3F26D7B0B450,8AFC0DF689E3E734,6,Arrival times within ±4 minutes,"(member, Ruggles T Stop - Columbus Ave at Melnea Cass Blvd -> Mass Ave at Albany St, ~555)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique
COMMUTER_member_Forsyth St at Huntington Ave~Deerfield St at Commonwealth Ave,VERY HIGH,Matched Outbound + Return Journey,member,B32062,B32037,B32037,B32062,07:13,07:13,18:13,2025-10-20,2025-10-20,0,11h 0m,4EF0D6D1C8DF174B,C709A26D4B9FDAE9,6,Arrival times within ±4 minutes,"(member, Forsyth St at Huntington Ave -> Deerfield St at Commonwealth Ave, ~430)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique
COMMUTER_member_Harvard University River Houses at DeWolfe St / Cowperthwaite St~Stadium Rd at Western Ave,VERY HIGH,Matched Outbound + Return Journey,member,M32038,A32014,A32014,M32038,12:39,12:39,17:48,2025-10-29,2025-10-29,0,5h 9m,627C0B37DAD487DB,75D239BB3E87F382,6,Arrival times within ±4 minutes,"(member, Harvard University River Houses at DeWolfe St / Cowperthwaite St -> Stadium Rd at Western Ave, ~755)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique
COMMUTER_member_Harvard University Radcliffe Quadrangle at Shepard St / Garden St~Cambridge Main Library at Broadway / Trowbridge St,VERY HIGH,Matched Outbound + Return Journey,member,M32024,M32013,M32013,M32024,08:15,08:15,15:48,2025-10-29,2025-10-29,0,7h 33m,7ECA58A2C16CFD1C,5F2301F0E069764D,6,Arrival times within ±3 minutes,"(member, Harvard University Radcliffe Quadrangle at Shepard St / Garden St -> Cambridge Main Library at Broadway / Trowbridge St, ~495)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique
COMMUTER_member_Harvard St and Stedman St~Galileo Galilei Way at Fulkerson St/Binney St,VERY HIGH,Matched Outbound + Return Journey,member,K32017,M32078,M32078,K32017,07:55,07:55,16:15,2025-10-09,2025-10-09,0,8h 20m,1D3FCD25B5D7523F,CB2A84116FECD379,6,Arrival times within ±3 minutes,"(member, Harvard St and Stedman St -> Galileo Galilei Way at Fulkerson St/Binney St, ~475)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique
COMMUTER_member_Ruggles T Stop - Columbus Ave at Melnea Cass Blvd~Washington St at Lenox St,VERY HIGH,Matched Outbound + Return Journey,member,B32002,C32005,C32005,B32002,11:38,11:38,16:50,2025-10-27,2025-10-27,0,5h 12m,DA131A270C5E58E9,867C331C385F55B8,6,Arrival times within ±4 minutes,"(member, Ruggles T Stop - Columbus Ave at Melnea Cass Blvd -> Washington St at Lenox St, ~695)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique
COMMUTER_member_Harvard Square at Mass Ave/ Dunster~Harvard University River Houses at DeWolfe St / Cowperthwaite St,VERY HIGH,Matched Outbound + Return Journey,member,M32018,M32038,M32038,M32018,14:54,14:54,21:32,2025-10-07,2025-10-07,0,6h 38m,C928B0F63AEB847E,1F86527C7C08CA0B,6,Arrival times within ±3 minutes,"(member, Harvard Square at Mass Ave/ Dunster -> Harvard University River Houses at DeWolfe St / Cowperthwaite St, ~890)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique
